text,priority
soap refill washroom,low
festival sweets office,low
UPS battery replacement,medium
roof leakage repair,high
cleaning materials purchase,low
floor cleaning machine rent,medium
petrol bulk purchase,high
storage rack purchase,medium
printer ink refill,medium
utensil replacement,medium
vehicle servicing,high
insurance renewal vehicle,high
door curtain purchase,low
fire extinguisher refill,high
wifi bill payment,medium
staff lunch treat,low
mobile cover purchase,low
major plumbing repair,high
cleaning service payment,medium
franchise royalty payment,high
whiteboard markers,low
franchise royalty payment,high
cleaning service payment,medium
diesel for delivery van,high
social media ads,medium
birthday cake expense,low
paper cup stock,low
dustbin purchase,low
generator repair urgent,high
birthday cake expense,low
diesel for delivery van,high
printer ink refill,medium
whiteboard markers,low
birthday cake expense,low
pantry grocery refill,low
franchise royalty payment,high
electrical wiring replacement,high
minor plumbing work,medium
shop rent payment,high
tea snacks for staff,low
petrol bulk purchase,high
gas cylinder refill,medium
rolling shutter repair,high
minor plumbing work,medium
deep freezer repair,high
vehicle servicing,high
floor cleaning machine rent,medium
bulk inventory purchase,high
franchise royalty payment,high
tea snacks for staff,low
stationery purchase,low
staff uniform purchase,medium
wifi bill payment,medium
plant decoration purchase,low
exhaust fan motor repair,high
storage rack purchase,medium
bulk inventory purchase,high
social media ads,medium
kitchen equipment servicing,high
deep freezer repair,high
packing materials purchase,medium
shop rent payment,high
air freshener refill,low
new oven purchase,high
gas cylinder refill,medium
exhaust fan motor repair,high
menu printing expense,medium
generator repair urgent,high
bulk inventory purchase,high
soap refill washroom,low
office decoration items,low
exhaust fan motor repair,high
storage rack purchase,medium
new oven purchase,high
stationery purchase,low
exhaust fan motor repair,high
UPS battery replacement,medium
dustbin purchase,low
deep freezer repair,high
delivery box purchase,medium
generator repair urgent,high
new oven purchase,high
festival sweets office,low
window glass replacement,medium
fire extinguisher refill,high
gas cylinder refill,medium
packing materials purchase,medium
storage rack purchase,medium
major plumbing repair,high
water purifier service,medium
delivery box purchase,medium
electrical wiring replacement,high
wifi bill payment,medium
stationery purchase,low
paper cup stock,low
gas cylinder refill,medium
water purifier service,medium
water bottle stock,low
fire extinguisher refill,high
exhaust fan motor repair,high
deep freezer repair,high
rolling shutter repair,high
packing materials purchase,medium
tea snacks for staff,low
fire extinguisher refill,high
electricity bill shop,medium
air freshener refill,low
whiteboard markers,low
plastic container purchase,low
monthly staff salary,high
delivery box purchase,medium
water bottle stock,low
monthly staff salary,high
paper cup stock,low
plant decoration purchase,low
exhaust fan motor repair,high
banner printing,medium
paper cup stock,low
festival sweets office,low
air freshener refill,low
electricity bill shop,medium
POS machine purchase,high
tea snacks for staff,low
water purifier service,medium
social media ads,medium
fire extinguisher refill,high
generator repair urgent,high
menu printing expense,medium
bulk inventory purchase,high
water purifier service,medium
monthly staff salary,high
staff uniform purchase,medium
petrol bulk purchase,high
floor cleaning machine rent,medium
staff uniform purchase,medium
office decoration items,low
whiteboard markers,low
plant decoration purchase,low
dustbin purchase,low
rolling shutter repair,high
plastic container purchase,low
pantry grocery refill,low
shop rent payment,high
staff uniform purchase,medium
office decoration items,low
light bulb replacement,low
plastic container purchase,low
electricity bill shop,medium
utensil replacement,medium
menu printing expense,medium
shop rent payment,high
franchise royalty payment,high
shop rent payment,high
banner printing,medium
staff lunch treat,low
birthday cake expense,low
staff lunch treat,low
social media ads,medium
kitchen equipment servicing,high
festival sweets office,low
petrol bulk purchase,high
insurance renewal vehicle,high
menu printing expense,medium
franchise royalty payment,high
whiteboard markers,low
cleaning service payment,medium
menu printing expense,medium
major plumbing repair,high
roof leakage repair,high
water purifier service,medium
menu printing expense,medium
